5.0072 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
94.6715 	EXP 	grating: autoDraw = False
94.8069 	DATA 	Keypress: right
94.8089 	EXP 	window1: recordFrameIntervals = False
94.8218 	EXP 	fixation: autoDraw = False
94.8218 	EXP 	grating: autoDraw = False
94.8220 	EXP 	window1: recordFrameIntervals = False
95.8015 	EXP 	fixation: autoDraw = True
96.8105 	EXP 	fixation: autoDraw = False
96.8105 	EXP 	grating: autoDraw = True
96.8105 	EXP 	grating: tex = 'sin'
97.1113 	EXP 	grating: autoDraw = False
97.2631 	DATA 	Keypress: left
97.2648 	EXP 	window1: recordFrameIntervals = False
97.2785 	EXP 	fixation: autoDraw = False
97.2785 	EXP 	grating: autoDraw = False
97.2787 	EXP 	window1: recordFrameIntervals = False
98.2572 	EXP 	fixation: autoDraw = True
99.2669 	EXP 	fixation: autoDraw = False
99.2669 	EXP 	grating: autoDraw = True
99.2669 	EXP 	grating: tex = 'sin'
99.5678 	EXP 	grating: autoDraw = False
99.6365 	DATA 	Keypress: right
99.6386 	EXP 	window1: recordFrameIntervals = False
99.6512 	EXP 	fixation: autoDraw = False
99.6512 	EXP 	grating: autoDraw = False
99.6513 	EXP 	window1: recordFrameIntervals = False
100.6307 	EXP 	fixation: autoDraw = True
101.6401 	EXP 	fixation: autoDraw = False
101.6401 	EXP 	grating: autoDraw = True
101.6401 	EXP 	grating: tex = 'sin'
101.9407 	EXP 	grating: autoDraw = False
102.0779 	DATA 	Keypress: right
102.0932 	EXP 	window1: recordFrameIntervals = False
102.1079 	EXP 	fixation: autoDraw = False
102.1079 	EXP 	grating: autoDraw = False
102.1081 	EXP 	window1: recordFrameIntervals = False
103.0845 	EXP 	fixation: autoDraw = True
104.0966 	EXP 	fixation: autoDraw = False
104.0966 	EXP 	grating: autoDraw = True
104.0966 	EXP 	grating: tex = 'sin'
104.3974 	EXP 	grating: autoDraw = False
104.4661 	DATA 	Keypress: right
104.4682 	EXP 	window1: recordFrameIntervals = False
104.4810 	EXP 	fixation: autoDraw = False
104.4810 	EXP 	grating: autoDraw = False
104.4811 	EXP 	window1: recordFrameIntervals = False
105.4611 	EXP 	fixation: autoDraw = True
106.4697 	EXP 	fixation: autoDraw = False
106.4697 	EXP 	grating: autoDraw = True
106.4697 	EXP 	grating: tex = 'sin'
106.7704 	EXP 	grating: autoDraw = False
106.8226 	DATA 	Keypress: right
106.8247 	EXP 	window1: recordFrameIntervals = False
106.8373 	EXP 	fixation: autoDraw = False
106.8373 	EXP 	grating: autoDraw = False
106.8375 	EXP 	window1: recordFrameIntervals = False
107.8170 	EXP 	fixation: autoDraw = True
108.8261 	EXP 	fixation: autoDraw = False
108.8261 	EXP 	grating: autoDraw = True
108.8261 	EXP 	grating: tex = 'sin'
109.1267 	EXP 	grating: autoDraw = False
109.1620 	DATA 	Keypress: left
109.1641 	EXP 	window1: recordFrameIntervals = False
109.1768 	EXP 	fixation: autoDraw = False
109.1768 	EXP 	grating: autoDraw = False
109.1770 	EXP 	window1: recordFrameIntervals = False
110.1561 	EXP 	fixation: autoDraw = True
111.1655 	EXP 	fixation: autoDraw = False
111.1655 	EXP 	grating: autoDraw = True
111.1655 	EXP 	grating: tex = 'sin'
111.4647 	EXP 	grating: autoDraw = False
111.5510 	DATA 	Keypress: left
111.5524 	EXP 	window1: recordFrameIntervals = False
111.5663 	EXP 	fixation: autoDraw = False
111.5663 	EXP 	grating: autoDraw = False
111.5664 	EXP 	window1: recordFrameIntervals = False
112.5454 	EXP 	fixation: autoDraw = True
113.5551 	EXP 	fixation: autoDraw = False
113.5551 	EXP 	grating: autoDraw = True
113.5551 	EXP 	grating: tex = 'sin'
113.8561 	EXP 	grating: autoDraw = False
114.0911 	DATA 	Keypress: right
114.0927 	EXP 	window1: recordFrameIntervals = False
114.1066 	EXP 	fixation: autoDraw = False
114.1066 	EXP 	grating: autoDraw = False
114.1068 	EXP 	window1: recordFrameIntervals = False
115.0858 	EXP 	fixation: autoDraw = True
116.0955 	EXP 	fixation: autoDraw = False
116.0955 	EXP 	grating: autoDraw = True
116.0955 	EXP 	grating: tex = 'sin'
116.3962 	EXP 	grating: autoDraw = False
116.4641 	DATA 	Keypress: left
116.4656 	EXP 	window1: recordFrameIntervals = False
116.4798 	EXP 	fixation: autoDraw = False
116.4798 	EXP 	grating: autoDraw = False
116.4800 	EXP 	window1: recordFrameIntervals = False
117.4580 	EXP 	fixation: autoDraw = True
118.4685 	EXP 	fixation: autoDraw = False
118.4685 	EXP 	grating: autoDraw = True
118.4685 	EXP 	grating: tex = 'sin'
118.7692 	EXP 	grating: autoDraw = False
118.7713 	DATA 	Keypress: left
118.7733 	EXP 	window1: recordFrameIntervals = False
118.7858 	EXP 	fixation: autoDraw = False
118.7858 	EXP 	grating: autoDraw = False
118.7860 	EXP 	window1: recordFrameIntervals = False
119.7660 	EXP 	fixation: autoDraw = True
120.7745 	EXP 	fixation: autoDraw = False
120.7745 	EXP 	grating: autoDraw = True
120.7745 	EXP 	grating: tex = 'sin'
120.9934 	DATA 	Keypress: left
120.9955 	EXP 	window1: recordFrameIntervals = False
121.0084 	EXP 	fixation: autoDraw = False
121.0084 	EXP 	grating: autoDraw = False
121.0086 	EXP 	window1: recordFrameIntervals = False
121.9870 	EXP 	fixation: autoDraw = True
122.9972 	EXP 	fixation: autoDraw = False
122.9972 	EXP 	grating: autoDraw = True
122.9972 	EXP 	grating: tex = 'sin'
123.2975 	EXP 	grating: autoDraw = False
123.2992 	DATA 	Keypress: left
123.3009 	EXP 	window1: recordFrameIntervals = False
123.3146 	EXP 	fixation: autoDraw = False
123.3146 	EXP 	grating: autoDraw = False
123.3147 	EXP 	window1: recordFrameIntervals = False
124.2929 	EXP 	fixation: autoDraw = True
125.3034 	EXP 	fixation: autoDraw = False
125.3034 	EXP 	grating: autoDraw = True
125.3034 	EXP 	grating: tex = 'sin'
125.5886 	DATA 	Keypress: left
125.5903 	EXP 	window1: recordFrameIntervals = False
125.6037 	EXP 	grating: autoDraw = False
125.6037 	EXP 	fixation: autoDraw = False
125.6037 	EXP 	grating: autoDraw = False
125.6038 	EXP 	window1: recordFrameIntervals = False
126.5829 	EXP 	fixation: autoDraw = True
127.5930 	EXP 	fixation: autoDraw = False
127.5930 	EXP 	grating: autoDraw = True
127.5930 	EXP 	grating: tex = 'sin'
127.8936 	EXP 	grating: autoDraw = False
127.8970 	DATA 	Keypress: left
127.9122 	EXP 	window1: recordFrameIntervals = False
127.9270 	EXP 	fixation: autoDraw = False
127.9270 	EXP 	grating: autoDraw = False
127.9272 	EXP 	window1: recordFrameIntervals = False
128.9051 	EXP 	fixation: autoDraw = True
129.9156 	EXP 	fixation: autoDraw = False
129.9156 	EXP 	grating: autoDraw = True
129.9156 	EXP 	grating: tex = 'sin'
130.2165 	EXP 	grating: autoDraw = False
130.3186 	DATA 	Keypress: right
130.3207 	EXP 	window1: recordFrameIntervals = False
130.3335 	EXP 	fixation: autoDraw = False
130.3335 	EXP 	grating: autoDraw = False
130.3337 	EXP 	window1: recordFrameIntervals = False
131.3137 	EXP 	fixation: autoDraw = True
132.3222 	EXP 	fixation: autoDraw = False
132.3222 	EXP 	grating: autoDraw = True
132.3222 	EXP 	grating: tex = 'sin'
132.6230 	EXP 	grating: autoDraw = False
132.6583 	DATA 	Keypress: left
132.6604 	EXP 	window1: recordFrameIntervals = False
132.6731 	EXP 	fixation: autoDraw = False
132.6731 	EXP 	grating: autoDraw = False
132.6733 	EXP 	window1: recordFrameIntervals = False
133.6523 	EXP 	fixation: autoDraw = True
134.6617 	EXP 	fixation: autoDraw = False
134.6617 	EXP 	grating: autoDraw = True
134.6617 	EXP 	grating: tex = 'sin'
134.9625 	EXP 	grating: autoDraw = False
135.0479 	DATA 	Keypress: left
135.0501 	EXP 	window1: recordFrameIntervals = False
135.0629 	EXP 	fixation: autoDraw = False
135.0629 	EXP 	grating: autoDraw = False
135.0631 	EXP 	window1: recordFrameIntervals = False
136.0428 	EXP 	fixation: autoDraw = True
137.0515 	EXP 	fixation: autoDraw = False
137.0515 	EXP 	grating: autoDraw = True
137.0515 	EXP 	grating: tex = 'sin'
137.3520 	EXP 	grating: autoDraw = False
137.6047 	DATA 	Keypress: right
137.6068 	EXP 	window1: recordFrameIntervals = False
137.6197 	EXP 	fixation: autoDraw = False
137.6197 	EXP 	grating: autoDraw = False
137.6199 	EXP 	window1: recordFrameIntervals = False
138.5993 	EXP 	fixation: autoDraw = True
139.6082 	EXP 	fixation: autoDraw = False
139.6082 	EXP 	grating: autoDraw = True
139.6082 	EXP 	grating: tex = 'sin'
139.9099 	EXP 	grating: autoDraw = False
140.3120 	DATA 	Keypress: right
140.3140 	EXP 	window1: recordFrameIntervals = False
140.3269 	EXP 	fixation: autoDraw = False
140.3269 	EXP 	grating: autoDraw = False
140.3271 	EXP 	window1: recordFrameIntervals = False
141.3058 	EXP 	fixation: autoDraw = True
142.3154 	EXP 	fixation: autoDraw = False
142.3154 	EXP 	grating: autoDraw = True
142.3154 	EXP 	grating: tex = 'sin'
142.6161 	EXP 	grating: autoDraw = False
142.7351 	DATA 	Keypress: left
142.7368 	EXP 	window1: recordFrameIntervals = False
142.7496 	EXP 	fixation: autoDraw = False
142.7496 	EXP 	grating: autoDraw = False
142.7497 	EXP 	window1: recordFrameIntervals = False
143.7286 	EXP 	fixation: autoDraw = True
144.7384 	EXP 	fixation: autoDraw = False
144.7384 	EXP 	grating: autoDraw = True
144.7384 	EXP 	grating: tex = 'sin'
145.0393 	EXP 	grating: autoDraw = False
145.2252 	DATA 	Keypress: right
145.2273 	EXP 	window1: recordFrameIntervals = False
145.2398 	EXP 	fixation: autoDraw = False
145.2398 	EXP 	grating: autoDraw = False
145.2400 	EXP 	window1: recordFrameIntervals = False
146.2200 	EXP 	fixation: autoDraw = True
147.2285 	EXP 	fixation: autoDraw = False
147.2285 	EXP 	grating: autoDraw = True
147.2285 	EXP 	grating: tex = 'sin'
147.5300 	EXP 	grating: autoDraw = False
147.7305 	DATA 	Keypress: right
147.7316 	EXP 	window1: recordFrameIntervals = False
147.7454 	EXP 	fixation: autoDraw = False
147.7454 	EXP 	grating: autoDraw = False
147.7456 	EXP 	window1: recordFrameIntervals = False
